Player,GP,MIN,PTS,REB,AST,STL,BLK,TOV,OREB,DREB,PF,+/-,eFG%,FGM,FGA,3PM,3PA,FTM,FTA,FG%,3P%,FT%,GmSc,TS%,3PAr,FTr,AST'd%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PER,ORtg,DRtg,NRtg,OBPM,DBPM,BPM,OWS,DWS,WS,WS/40,WS/82,VORP,VORP/82
AJ Dybantsa,2,25.4,35.5,9.9,2.8,3.6,2.1,2.8,0.0,9.9,0.7,,40.9,9.2,23.4,0.7,7.8,8.5,9.9,39.4,9.1,85.7,29.1,63.8,0.333,0.424,23.1,0.0,27.9,12.9,14.9,4.9,5.3,9.3,38.5,26.5,101.8,103.8,-1.9,0.9,8.7,9.7,-0.0,0.1,0.1,0.06,1.8,0.1,3.7
Meleek Thomas,3,30.1,33.8,4.8,5.2,2.8,0.4,2.0,2.0,2.8,4.8,,58.9,12.3,24.7,4.4,9.6,2.4,2.4,50.0,45.8,100.0,26.5,65.7,0.387,0.097,38.7,5.5,8.0,5.7,24.9,3.8,1.1,7.2,31.1,32.0,125.4,110.6,14.7,11.8,-0.2,11.5,0.3,0.1,0.4,0.17,9.2,0.3,7.6
Caleb Wilson,4,27.7,30.6,9.4,2.3,1.6,3.3,6.8,2.6,6.8,4.6,,59.6,11.1,22.1,4.2,10.1,2.0,5.9,50.0,41.9,33.3,18.7,61.9,0.456,0.265,50.0,7.5,20.2,11.6,18.1,2.3,7.9,21.7,35.1,22.2,92.5,109.9,-17.4,-6.1,3.6,-2.5,-0.2,0.1,-0.1,-0.03,-1.9,-0.0,-0.4
Darryn Peterson,5,27.9,29.7,4.1,6.7,1.3,1.5,6.2,1.3,2.8,5.4,,45.5,9.0,22.7,2.6,7.5,5.4,7.0,39.8,34.5,77.8,17.2,57.6,0.33,0.307,28.6,3.8,7.3,4.9,32.5,1.8,4.0,19.4,35.7,16.4,95.4,113.0,-17.6,-1.7,-2.0,-3.6,-0.2,0.1,-0.1,-0.02,-1.7,-0.1,-1.1
Brayden Burries,4,24.2,29.4,6.0,4.8,2.6,1.1,0.4,0.7,5.2,4.8,,56.5,9.7,20.1,3.3,8.2,4.5,6.7,48.1,40.9,66.7,24.8,63.8,0.407,0.333,34.6,2.2,16.0,7.4,25.5,3.6,2.8,1.6,27.0,29.6,129.4,115.4,14.0,12.5,2.0,14.5,0.3,0.0,0.4,0.15,7.0,0.4,8.1
Amani Lyles,4,16.0,27.0,8.4,1.1,2.2,1.1,5.1,4.5,3.9,2.8,,62.5,9.0,15.8,1.7,5.1,3.9,4.5,57.1,33.3,87.5,21.3,76.1,0.321,0.286,75.0,12.0,14.1,11.0,6.1,3.1,3.2,22.2,25.1,24.2,109.7,114.5,-4.8,-1.2,0.5,-0.6,0.1,0.0,0.1,0.06,2.2,0.0,0.6
Darius Acuff Jr.,5,28.2,26.6,2.0,5.9,1.3,1.3,4.9,0.3,1.8,3.1,,40.0,8.9,25.6,2.6,9.5,4.1,5.9,35.0,27.0,69.6,12.5,47.2,0.37,0.23,31.4,0.7,5.6,2.4,37.6,1.8,3.8,15.0,34.6,11.9,86.8,120.5,-33.7,-4.1,-3.0,-7.0,-0.4,-0.0,-0.4,-0.11,-5.5,-0.2,-2.5
Cameron Carr,6,24.9,25.3,4.1,1.4,1.0,1.2,1.0,0.2,3.9,3.4,,52.5,8.7,19.5,3.1,9.6,2.9,4.1,44.4,32.5,70.6,16.4,59.3,0.494,0.21,83.3,0.7,12.6,5.0,9.0,1.4,3.6,4.3,25.4,19.7,108.3,114.6,-6.3,4.3,-1.5,2.8,0.1,0.1,0.2,0.05,2.4,0.2,2.6
Bryce Hopkins,4,25.9,25.0,9.0,2.1,2.1,1.0,2.1,2.8,6.2,1.7,,57.8,9.4,17.7,1.7,4.9,2.8,4.2,52.9,35.7,66.7,21.1,64.0,0.275,0.235,48.1,7.9,18.0,11.6,7.7,2.8,2.8,9.6,23.7,25.3,122.0,113.4,8.6,3.7,1.7,5.4,0.2,0.1,0.3,0.11,7.0,0.2,4.8
Cameron Boozer,6,27.2,25.0,8.6,4.6,2.0,0.2,4.2,2.9,5.7,3.8,,62.2,9.1,16.3,2.2,4.6,3.1,4.0,55.4,47.6,77.8,20.2,69.0,0.284,0.243,56.1,9.4,19.0,11.0,21.3,2.8,0.7,19.1,24.2,24.8,120.8,109.9,10.8,4.7,1.1,5.8,0.3,0.2,0.5,0.12,7.6,0.3,4.7
Mikel Brown Jr.,4,21.6,24.9,2.5,6.7,2.1,0.8,4.2,0.0,2.5,4.2,,48.0,7.9,20.4,3.7,10.8,3.3,3.7,38.8,34.6,88.9,15.9,56.6,0.531,0.184,42.1,0.0,7.8,3.1,31.6,2.9,2.7,15.9,27.8,18.0,103.8,105.7,-1.9,3.2,-1.3,1.9,0.0,0.1,0.1,0.06,2.4,0.1,1.9
Ryan Conwell,4,29.8,24.7,4.8,3.9,0.3,0.3,2.1,0.9,3.9,5.1,,50.8,7.5,18.1,3.3,10.9,2.7,2.7,41.7,30.6,100.0,16.0,64.1,0.6,0.15,52.0,2.8,11.1,6.1,20.6,0.5,0.7,9.9,26.4,16.9,111.5,118.7,-7.2,4.8,-3.6,1.2,0.1,0.0,0.1,0.05,2.9,0.1,1.9
Bruce Thornton,4,31.6,24.2,4.3,4.3,3.4,0.0,2.0,0.9,3.4,3.1,,53.5,7.1,16.3,3.1,7.1,4.0,5.4,43.9,44.0,73.7,19.9,65.0,0.439,0.333,48.0,2.5,10.0,5.4,21.6,4.7,0.0,9.7,23.9,22.7,122.2,103.2,19.0,6.2,1.2,7.4,0.3,0.2,0.5,0.15,11.6,0.3,7.4
Trevon Brazile,3,27.9,24.1,10.7,0.4,0.9,1.7,3.4,4.7,6.0,4.3,,55.7,8.6,18.9,3.9,8.2,1.7,2.1,45.5,47.4,80.0,16.4,60.6,0.432,0.114,65.0,13.4,17.4,13.8,1.6,1.1,4.6,14.8,24.9,20.5,110.9,116.4,-5.6,-1.9,-0.0,-2.0,0.1,0.0,0.1,0.05,2.7,0.0,0.0
Emanuel Sharp,6,25.3,22.3,4.5,1.7,3.6,0.7,1.7,0.5,4.0,5.7,,49.3,5.9,16.4,4.3,12.8,3.8,4.0,36.2,33.3,94.1,16.0,61.5,0.783,0.246,84.0,1.3,12.5,5.7,9.5,5.0,2.0,8.3,22.9,18.6,107.7,110.0,-2.2,2.6,2.6,5.3,0.1,0.1,0.2,0.06,3.2,0.3,4.0
Koa Peat,4,27.2,22.2,6.3,3.0,2.0,0.7,4.0,1.0,5.3,7.9,,51.0,8.3,16.2,0.0,0.7,3.3,5.3,51.0,0.0,62.5,13.0,59.8,0.041,0.327,56.0,2.8,13.4,7.9,14.4,2.7,1.8,17.6,26.4,15.0,95.7,101.2,-5.4,-2.1,0.5,-1.6,-0.1,0.2,0.1,0.04,2.6,0.0,0.3
Nick Martinelli,4,22.9,22.1,10.2,2.4,1.2,0.0,1.6,3.2,7.1,5.1,,58.8,8.7,15.8,1.2,2.4,2.0,3.2,55.0,50.0,62.5,17.6,64.3,0.15,0.2,63.6,9.3,22.0,13.2,11.4,1.7,0.0,8.4,23.0,22.1,123.1,112.7,10.4,4.6,0.5,5.1,0.2,0.1,0.2,0.11,6.1,0.2,4.0
Hannes Steinbach,4,23.3,22.0,13.5,2.7,0.8,1.2,5.4,5.8,7.7,3.9,,57.9,8.5,14.7,0.0,0.0,3.1,3.5,57.9,,88.9,17.9,67.9,0.0,0.237,72.7,18.2,22.2,17.5,12.8,1.1,3.3,25.0,24.1,20.8,105.3,112.9,-7.5,-2.6,1.2,-1.3,0.0,0.1,0.1,0.04,2.4,0.0,0.4
Morez Johnson Jr.,2,30.3,22.0,7.7,1.8,3.0,3.6,1.8,1.8,5.9,8.3,,66.0,9.5,14.9,0.6,3.0,1.8,2.4,64.0,20.0,75.0,19.8,69.1,0.2,0.16,68.8,5.7,18.0,10.6,7.6,4.1,8.9,10.1,20.9,26.6,119.9,104.1,15.9,5.6,5.4,11.0,0.1,0.1,0.2,0.12,4.6,0.2,4.9
Allen Graves,4,27.5,21.9,8.8,3.9,2.9,1.3,2.3,2.0,6.9,5.9,,61.8,8.5,16.7,3.6,7.2,1.0,1.0,51.0,50.0,100.0,19.1,64.0,0.431,0.059,76.9,5.7,18.2,9.7,15.4,4.0,3.9,11.8,21.1,24.9,121.5,101.0,20.5,6.6,4.2,10.8,0.2,0.2,0.4,0.15,9.9,0.4,8.7
Tre White,6,23.7,21.7,8.8,2.0,2.0,1.3,1.5,1.3,7.6,0.8,,54.5,6.1,14.2,3.3,8.1,3.0,3.0,42.9,40.6,100.0,19.9,70.2,0.571,0.214,77.3,3.6,21.7,9.7,7.3,2.8,3.2,8.7,18.5,21.6,116.5,107.7,8.8,4.1,3.3,7.4,0.2,0.2,0.3,0.1,4.9,0.3,4.8
Labaron Philon,4,31.9,20.8,3.9,6.5,1.7,0.3,2.8,0.8,3.1,1.1,,43.4,8.2,21.4,2.3,8.7,1.4,2.3,38.2,25.8,62.5,13.5,46.5,0.408,0.105,20.7,2.2,11.1,5.2,31.2,2.4,0.8,11.2,26.4,15.9,103.0,118.8,-15.8,1.5,-1.8,-0.3,0.0,0.0,0.0,0.01,0.7,0.1,1.3
Roddy Gayle,3,11.6,20.7,7.3,2.1,1.0,1.0,1.0,1.0,6.2,5.2,,100.0,8.3,10.4,4.1,5.2,0.0,0.0,80.0,80.0,,19.5,100.0,0.5,0.0,50.0,3.1,18.3,8.6,11.5,1.4,2.7,9.1,12.3,27.6,175.1,118.9,56.2,12.6,0.2,12.8,0.1,0.0,0.1,0.16,3.5,0.1,3.2
Rienk Mast,3,28.8,20.4,12.5,2.5,0.4,0.4,2.1,6.7,5.8,1.7,,55.3,7.5,15.9,2.5,8.3,1.7,2.5,47.4,30.0,66.7,18.1,60.3,0.526,0.158,61.1,20.7,16.5,14.7,13.9,0.6,0.9,11.0,20.7,21.8,121.4,123.0,-1.6,2.5,-1.7,0.7,0.2,-0.0,0.1,0.07,3.7,0.1,1.5
Malik Dia,4,17.2,20.4,10.5,0.5,1.6,1.6,1.6,2.1,8.4,4.2,,44.4,7.3,18.9,2.1,5.8,2.1,3.1,38.9,36.4,66.7,13.5,50.5,0.306,0.167,64.3,5.5,23.2,12.4,2.4,2.1,4.2,7.2,25.0,15.9,93.7,103.8,-10.0,-2.9,3.2,0.3,-0.1,0.1,0.0,0.02,1.0,0.0,1.0
